0,BTL ,QUESTION,topic,difficulty
378,3,Solve a cybersecurity challenge involving network intrusion detection and critically evaluate the effectiveness of different intrusion detection systems.,Sorting,1
445,3,How to find subarrays with given sum in an array?,Linked List,1
435,3,How do I concatenate two lists?,Sorting,1
500,3,Could you compare and contrast the time complexity of binary search in a sorted array with that in a binary search tree?,Arrays,1
506,3,How can binary search tree iterator be useful for efficiently iterating through elements in sorted order?,Recursion,2
422,3,What is a rolling hash and how is it used in data compression and string algorithms?,Arrays,1
554,3,Explain what are access specifiers in c class what are the types?,Linked List,1
521,3,Evaluate the ethical implications of using facial recognition technology for law enforcement and surveillance purposes.,Linked List,3
556,3,Explain what are the characteristics of class members in c?,Trees,1
452,3,How do you handle exceptions and errors in Python using try-except blocks?,Arrays,2
467,3,How to solve the traveling salesman problem using a brute-force algorithm?,Sorting,3
413,3,"In a weighted graph, how would you modify Dijkstra's algorithm to work with negative edge weights or to find the shortest path in a graph with a negative cycle?",Arrays,2
546,3,Critically analyze the challenges and benefits of implementing blockchain technology in the healthcare industry for managing electronic health records.,Sorting,1
402,3,What's the relationship between tree height and the efficiency of operations?,Other,1
533,3,Analyze the impact of algorithmic bias on the fairness and inclusivity of machine learning models in hiring practices.,Recursion,1
543,3,Analyze the ethical dilemmas associated with the development and deployment of autonomous drones for surveillance and reconnaissance missions.,Arrays,2
530,3,Analyze the trade-offs between using rule-based systems and machine learning approaches for decision-making in expert systems.,Arrays,3
382,3,Propose innovative solutions for securing wireless networks against advanced persistent threats and evaluate their effectiveness.,Arrays,3
555,3,Explain what are infix prefix and postfix expressions?,Sorting,3
469,3,What are the differences between append() and extend() methods in Python lists?,Other,2
431,3,how hash functions contribute to data consistency in distributed systems?,Other,3
385,3,Find a pair with given sum in a BST?,Linked List,1
444,3,How to find subarray having given sum in given array of integers?,Recursion,2
495,3,How does the choice of a root node impact the balance and overall structure of a binary search tree?,Linked List,2
526,3,Analyze the ethical implications of using facial recognition technology for surveillance in public spaces.,Arrays,1
383,3,Analyze the potential risks and benefits of using autonomous drones for surveillance and reconnaissance missions.,Arrays,3
408,3,"How does the structure of a binary search tree affect the time complexity of various operations, such as insertion, deletion, and searching?",Recursion,3
458,3,What are Python's data types and how are they used?,Other,1
496,3,How does the choice of the root node impact the overall structure and balance of a binary search tree?,Linked List,3
398,3,How does the use of Binary Search Trees differ in scenarios where you're dealing with a dynamic set of data versus a static set?,Arrays,3
446,3,"What is the concept of ""duck typing"" in Python with an example?",Recursion,3
410,3,"Explain the ""minimum spanning tree"" (MST) problem and how algorithms like Kruskal's and Prim's algorithms address the challenge of finding the tree with the least total edge weight?",Trees,1
551,3,"Explain the concept of dimensional modeling in data warehousing. What are the characteristics of a star schema and a snowflake schema, and when would you choose one over the other?",Arrays,3
497,3,"Can you discuss the concept of ""tree rotations"" in AVL trees?",Trees,3
535,3,Evaluate the effectiveness of using machine learning algorithms for anomaly detection in cybersecurity.,Linked List,2
396,3,How do binary search trees handle cases where an element is not present in the tree during a search operation?,Linked List,1
438,3,What does the * operator do when used with a list?,Recursion,3
457,3,How to find XOR of two number without using XOR operator?,Arrays,1
440,3,"How does Python handle indentation, and why is it important?",Arrays,3
437,3,"What are some common methods I can use on lists, and what do they do?",Sorting,3
448,3,How can you convert a string to uppercase or lowercase in Python?,Other,2
430,3,How does the length extension attack exploit weaknesses in certain hash functions?,Recursion,1
409,3,"How does the Hungarian algorithm efficiently solve the assignment problem in weighted bipartite graphs, and what are its applications?",Arrays,2
392,3,Are there any real-world applications where binary search trees are commonly used?,Trees,2
439,3,Can you explain list comprehension with an example?,Recursion,2
548,3,Explain how can you make a python script executable on unix?,Recursion,3
473,3,Find Greatest Common Divisor (GCD) of 2 numbers using recursion?,Recursion,3
542,3,Compare and contrast different methods for evaluating the fairness and interpretability of machine learning models.,Linked List,1
504,3,"How does the performance of binary search trees compare to hash tables for searching, insertion, and deletion operations?",Trees,2
423,3,What is the use of Hashing?,Sorting,3
449,3,How can you convert between different data types in Python?,Arrays,3
540,3,Solve a hypothetical scenario involving distributed denial of service (DDoS) attacks on a network infrastructure and propose effective countermeasures.,Linked List,2
463,3,What is use of the 'async' and 'await' keywords in Python?,Trees,3
421,3,What is a rainbow table and how can it be used to crack hashed passwords?,Other,2
379,3,Propose strategies for optimizing network performance in a cloud computing environment and evaluate their impact on scalability and reliability.,Sorting,1
474,3,How to implement a recursive algorithm to solve the N-Queens problem: placing N queens on an N chessboard such that no two queens threaten each other?,Linked List,2
558,3,Explain what is a class in c?,Other,1
397,3,"How does the concept of ""rotation"" come into play when balancing a binary search tree?",Arrays,1
523,3,Solve a complex optimization problem using genetic algorithms and evaluate the quality of the solutions obtained.,Other,2
471,3,"How can you determine the length of a list or string in Python, and what is the time complexity of this operation?",Other,1
552,3,Explain the concept of overfitting in machine learning and how it can be mitigated?,Linked List,1
513,3,Propose and justify strategies for optimizing network performance in a cloud computing environment and evaluate their impact on scalability and reliability.,Sorting,3
491,3,"How does the depth of a binary search tree affect the efficiency of its operations, and how can we minimize the depth?",Sorting,1
416,3,"What is AVL tree data structure, its operations, and its rotations?",Arrays,2
539,3,Analyze the ethical considerations surrounding the use of predictive analytics in credit scoring and loan approval processes.,Trees,1
503,3,How does insertion of data in sorted order in a binary search tree affect its time complexity?,Sorting,3
465,3,how to demonstrate the concept of vertex cover and provide an algorithm to find it?,Sorting,3
490,3,Find Reverse Level Order Traversal of Binary Tree?,Linked List,2
417,3,"In blockchain technology, how are hashes used to maintain the integrity of the blockchain and ensure the immutability of transaction records?",Recursion,2
456,3,How to find two odd occurring elements in an array without using any extra space?,Sorting,1
531,3,Critically evaluate the advantages and disadvantages of using reinforcement learning for training autonomous agents.,Other,3
507,3,Analyze the potential security vulnerabilities introduced by Internet of Things (IoT) devices in smart home environments.,Linked List,1
475,3,What is the concept of recursive backtracking and its application in solving constraint satisfaction problems?,Sorting,3
501,3,How do binary search trees compare to hash tables in terms of memory usage and collision resolution strategies?,Arrays,3
418,3,"In Python, why are immutable objects preferred for use as dictionary keys, and how does immutability contribute to consistent hashing and dictionary behavior?",Other,2
420,3,What is a Merkle tree and how is it used in blockchain technology?,Recursion,2
394,3,Can you provide insights into the use of binary search trees in implementing symbol tables and dictionaries?,Trees,2
472,3,How do you illustrate the Global Interpreter Lock (GIL) in Python and its impact on multi-threading?,Arrays,1
390,3,What benefits does the height-balanced property of a binary search tree provide?,Arrays,3
525,3,Compare and contrast different clustering algorithms and analyze their effectiveness in grouping similar data points.,Arrays,1
1076,6,"Cloud-Native Application Architecture for SaaS: You are tasked with developing a cloud-native application architecture for a software-as-a-service (SaaS) platform. Create a microservices-based architecture that enables scalability, agility, and resilience, incorporating containerization, orchestration, and continuous integration/continuous deployment (CI/CD) pipelines for rapid development and deployment of cloud-native applications.",Arrays,3
1085,6,Invent a method for automatically generating explanations for machine learning predictions to enhance trust and interpretability.,Other,2
1142,6,Design a framework for developing ethical AI algorithms that minimize bias and ensure fairness in automated decision-making.,Trees,2
1036,6,Devise a system for automatically analyzing network traffic patterns to detect and mitigate distributed denial-of-service (DDoS) attacks in real-time.,Other,1
1122,6,Devise a system for analyzing user behavior on a website to provide personalized content recommendations based on engagement metrics.,Linked List,2
1045,6,Propose a framework for implementing zero-trust security architecture in enterprise networks to mitigate insider threats and unauthorized access.,Other,2
1108,6,Design a recommendation system for an e-commerce platform that utilizes collaborative filtering and content-based filtering techniques.,Arrays,1
1159,6,Invent a method for using machine learning to optimize the performance of recommendation algorithms in e-commerce platforms.,Linked List,1
1080,6,"Recommendation System for Personalized Content: You are designing a recommendation system for personalized content delivery in online streaming platforms. Create a recommendation algorithm that leverages collaborative filtering, content-based filtering, and reinforcement learning techniques to analyze user preferences, predict user preferences, and recommend relevant movies, TV shows, and music based on individual viewing habits and feedback.",Linked List,2
1015,6,"Invent a data structure optimized for storing and retrieving hierarchical data in a web application, considering both memory and time complexity.",Arrays,3
1026,6,"Propose a framework for federated learning in edge computing environments, allowing devices to collaboratively train a shared model while preserving privacy.",Linked List,2
1145,6,Devise a system for automating vulnerability scanning and threat detection in web applications to enhance cybersecurity.,Arrays,2
1010,6,Invent a new framework for automatic machine learning (AutoML) that optimizes both model selection and hyperparameter tuning for various machine learning tasks.,Sorting,2
1146,6,Create an architecture for a multi-tenant software-as-a-service (SaaS) platform that ensures data isolation and security for users.,Arrays,3
1043,6,Devise a system for automatically monitoring and optimizing energy consumption in smart buildings using IoT sensors and actuators.,Other,3
1011,6,"Design a new algorithm for multi-modal sentiment analysis that integrates textual, visual, and auditory information to provide more comprehensive sentiment analysis results.",Trees,3
1060,6,Propose a framework for integrating quantum key distribution (QKD) technology into optical fiber networks for ultra-secure communication.,Other,3
